,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,SalePrice,priceLbl
35,24.0,2280,6,1978,1978,0.0,311.0,544.0,855.0,855,601,1456,2,1,7,1,2.0,440.0,26,0,146000,"100,000 - 199,999"
36,102.0,12858,9,2009,2010,162.0,0.0,1590.0,1590.0,1627,707,2334,2,1,10,1,3.0,751.0,144,133,376162,"300,000 - 399,999"
37,98.0,11478,8,2007,2008,200.0,1218.0,486.0,1704.0,1704,0,1704,2,0,7,1,3.0,772.0,0,50,306000,"300,000 - 399,999"
38,83.0,10159,9,2009,2010,450.0,1646.0,284.0,1930.0,1940,0,1940,2,1,8,1,3.0,606.0,168,95,395192,"300,000 - 399,999"
39,94.0,12883,8,2009,2010,256.0,0.0,1544.0,1544.0,1544,0,1544,2,0,7,0,3.0,868.0,0,35,290941,"200,000 - 299,999"
40,95.0,12182,7,2005,2005,226.0,1201.0,340.0,1541.0,1541,0,1541,2,0,7,1,2.0,532.0,0,70,220000,"200,000 - 299,999"
41,90.0,11520,9,2005,2005,615.0,110.0,1588.0,1698.0,1698,0,1698,2,0,7,1,3.0,730.0,192,74,275000,"200,000 - 299,999"
42,79.0,14122,8,2005,2006,240.0,28.0,1794.0,1822.0,1822,0,1822,2,0,8,1,3.0,678.0,0,119,259000,"200,000 - 299,999"
43,70.0,10171,7,2004,2004,168.0,2.0,1515.0,1517.0,1535,0,1535,2,0,7,0,2.0,532.0,0,0,214000,"200,000 - 299,999"
44,100.0,12919,9,2009,2010,760.0,2188.0,142.0,2330.0,2364,0,2364,2,1,11,2,3.0,820.0,0,67,611657,"600,000 - 699,999"
45,44.0,6371,7,2009,2010,128.0,733.0,625.0,1358.0,1358,0,1358,2,0,6,1,2.0,484.0,192,35,224000,"200,000 - 299,999"
46,110.0,14300,9,2003,2004,1095.0,1373.0,1473.0,2846.0,2696,0,2696,2,1,10,2,3.0,958.0,220,150,500000,"500,000 - 599,999"
47,105.0,13650,8,2002,2002,232.0,578.0,1093.0,1671.0,1687,563,2250,2,1,7,1,3.0,756.0,238,130,320000,"300,000 - 399,999"
48,61.0,7658,9,2005,2005,412.0,456.0,1296.0,1752.0,1752,0,1752,2,0,6,1,2.0,576.0,196,82,319900,"300,000 - 399,999"
49,41.0,7132,8,2006,2006,178.0,24.0,1346.0,1370.0,1370,0,1370,2,0,6,1,2.0,484.0,120,49,205000,"200,000 - 299,999"
50,36.0,2628,7,2003,2003,106.0,0.0,764.0,764.0,764,862,1626,2,1,6,0,2.0,474.0,0,27,175500,"100,000 - 199,999"
51,100.0,18494,6,2005,2005,0.0,0.0,1324.0,1324.0,1324,0,1324,2,0,6,0,2.0,430.0,36,23,199500,"100,000 - 199,999"
52,43.0,3203,7,2006,2006,14.0,16.0,1129.0,1145.0,1145,0,1145,2,0,6,0,2.0,437.0,100,116,160000,"100,000 - 199,999"
53,43.0,3182,8,2004,2005,16.0,24.0,1232.0,1256.0,1269,0,1269,2,0,6,1,2.0,430.0,146,20,192000,"100,000 - 199,999"
54,67.0,13300,7,2004,2004,0.0,326.0,58.0,384.0,744,630,1374,2,1,7,1,2.0,400.0,100,0,184500,"100,000 - 199,999"
55,0.0,7851,6,2002,2002,0.0,625.0,235.0,860.0,860,1100,1960,2,1,8,2,2.0,440.0,288,48,216500,"200,000 - 299,999"
56,63.0,8577,7,2004,2004,0.0,0.0,847.0,847.0,847,886,1733,2,1,7,1,2.0,433.0,144,48,185088,"100,000 - 199,999"
57,0.0,7750,7,2000,2000,0.0,250.0,134.0,384.0,774,656,1430,2,1,7,1,2.0,400.0,180,0,180000,"100,000 - 199,999"
58,0.0,9505,7,2001,2001,180.0,0.0,884.0,884.0,884,1151,2035,2,1,8,1,2.0,434.0,144,48,222500,"200,000 - 299,999"
59,108.0,14774,9,1999,1999,165.0,0.0,1393.0,1393.0,1422,1177,2599,2,1,10,1,3.0,779.0,668,30,333168,"300,000 - 399,999"
60,60.0,17433,8,1998,1998,114.0,0.0,1629.0,1629.0,1645,830,2475,2,1,7,1,3.0,962.0,23,172,355000,"300,000 - 399,999"
61,59.0,10593,7,1996,1996,338.0,919.0,801.0,1720.0,1720,0,1720,2,0,7,1,2.0,527.0,240,56,260400,"200,000 - 299,999"
62,98.0,12256,8,1994,1995,362.0,1032.0,431.0,1463.0,1500,1122,2622,2,1,9,2,2.0,712.0,186,32,325000,"300,000 - 399,999"
63,92.0,11764,8,1999,2007,348.0,524.0,628.0,1152.0,1164,1106,2270,2,1,9,1,3.0,671.0,132,57,290000,"200,000 - 299,999"
64,58.0,16770,7,1998,1998,30.0,0.0,1195.0,1195.0,1195,644,1839,2,1,7,0,2.0,486.0,0,81,221000,"200,000 - 299,999"
65,56.0,14720,8,1995,1996,579.0,816.0,1217.0,2033.0,2053,1185,3238,2,1,9,1,3.0,666.0,283,86,410000,"400,000 - 499,999"
66,73.0,8987,8,2005,2006,226.0,0.0,1595.0,1595.0,1595,0,1595,2,0,6,1,3.0,880.0,144,0,221500,"200,000 - 299,999"
67,92.0,9215,7,2009,2010,0.0,0.0,1218.0,1218.0,1218,0,1218,2,0,4,0,2.0,676.0,0,136,204500,"200,000 - 299,999"
68,72.0,8640,7,2009,2009,0.0,24.0,732.0,756.0,764,783,1547,2,1,7,0,2.0,614.0,169,45,215200,"200,000 - 299,999"
69,75.0,9000,8,2008,2008,36.0,1078.0,488.0,1566.0,1566,0,1566,2,0,7,0,2.0,750.0,144,168,262500,"200,000 - 299,999"
70,100.0,12552,7,2004,2005,0.0,222.0,769.0,991.0,991,956,1947,2,1,8,1,2.0,678.0,0,136,254900,"200,000 - 299,999"
71,84.0,10440,6,2005,2005,0.0,1414.0,54.0,1468.0,1468,0,1468,2,0,6,1,2.0,528.0,0,102,271500,"200,000 - 299,999"
72,76.0,10142,7,2004,2004,0.0,656.0,300.0,956.0,956,1128,2084,2,1,8,0,2.0,618.0,0,45,233000,"200,000 - 299,999"
73,70.0,11920,7,2004,2004,122.0,0.0,831.0,831.0,831,828,1659,2,1,8,0,2.0,484.0,144,68,181000,"100,000 - 199,999"
74,0.0,8880,7,1994,2002,0.0,695.0,253.0,948.0,1222,888,2110,2,1,8,2,2.0,463.0,0,130,205000,"200,000 - 299,999"
75,50.0,8012,6,1980,1980,0.0,543.0,261.0,923.0,923,0,923,2,0,5,1,1.0,264.0,80,0,143000,"100,000 - 199,999"
76,70.0,11218,6,1992,1992,0.0,0.0,1055.0,1055.0,1055,790,1845,2,1,8,1,2.0,462.0,635,104,189000,"100,000 - 199,999"
77,55.0,7892,6,1979,1979,0.0,0.0,918.0,918.0,918,0,918,2,0,5,1,1.0,264.0,28,0,99500,"0 - 99,999"
78,50.0,7175,6,1984,1984,0.0,623.0,0.0,744.0,752,0,752,1,0,4,0,1.0,264.0,353,0,125000,"100,000 - 199,999"
79,0.0,9453,7,1993,2003,0.0,402.0,594.0,996.0,1014,730,1744,2,1,7,0,2.0,457.0,370,70,194500,"100,000 - 199,999"
80,81.0,9672,6,1984,1985,0.0,338.0,702.0,1040.0,1097,0,1097,2,0,6,0,2.0,480.0,0,0,152000,"100,000 - 199,999"
81,70.0,8400,6,1980,1981,130.0,0.0,650.0,650.0,888,676,1564,2,1,7,1,2.0,476.0,0,50,171000,"100,000 - 199,999"
82,70.0,9800,5,1920,1950,0.0,0.0,816.0,816.0,1012,0,1012,1,0,5,0,1.0,429.0,121,0,67500,"0 - 99,999"
83,68.0,8930,6,1978,1978,0.0,0.0,0.0,0.0,1318,584,1902,2,0,8,0,2.0,539.0,0,0,112000,"100,000 - 199,999"
84,88.0,11782,5,1961,1995,0.0,899.0,210.0,1109.0,1155,0,1155,1,0,6,0,2.0,576.0,192,0,148000,"100,000 - 199,999"
85,65.0,8450,5,1965,2009,0.0,553.0,224.0,894.0,894,0,894,1,0,5,1,1.0,336.0,416,144,138500,"100,000 - 199,999"
86,0.0,9819,5,1967,1967,31.0,450.0,432.0,882.0,900,0,900,1,0,5,0,1.0,280.0,0,0,122000,"100,000 - 199,999"
87,75.0,7500,5,1963,1963,0.0,824.0,216.0,1040.0,1040,0,1040,1,1,5,0,1.0,308.0,0,0,133000,"100,000 - 199,999"
88,0.0,6897,5,1962,2010,0.0,659.0,381.0,1040.0,1040,0,1040,1,1,6,0,1.0,260.0,0,104,127000,"100,000 - 199,999"
89,39.0,15410,6,1974,2002,250.0,126.0,223.0,1208.0,1494,0,1494,2,0,7,2,2.0,461.0,296,0,169000,"100,000 - 199,999"
90,107.0,10186,7,1992,1992,0.0,674.0,76.0,750.0,1061,862,1923,2,1,8,1,2.0,564.0,240,39,190000,"100,000 - 199,999"
91,85.0,13143,8,1993,1993,504.0,250.0,0.0,1231.0,1251,1098,2349,2,1,9,1,3.0,762.0,32,130,362500,"300,000 - 399,999"
92,88.0,11134,8,1992,1993,180.0,1129.0,261.0,1390.0,1402,823,2225,2,1,7,1,3.0,713.0,198,30,285000,"200,000 - 299,999"
93,25.0,4835,7,2004,2005,0.0,1298.0,190.0,1488.0,1488,0,1488,2,0,6,1,2.0,506.0,168,50,260000,"200,000 - 299,999"
94,39.0,3515,7,2004,2004,0.0,0.0,840.0,840.0,840,840,1680,2,1,3,0,2.0,588.0,0,111,190000,"100,000 - 199,999"
95,30.0,3215,7,2004,2004,120.0,280.0,320.0,600.0,600,600,1200,2,1,4,0,2.0,480.0,0,172,155000,"100,000 - 199,999"
96,30.0,3182,7,2004,2005,0.0,0.0,600.0,600.0,600,600,1200,2,1,4,0,2.0,480.0,0,172,151000,"100,000 - 199,999"
97,24.0,2544,7,2004,2005,0.0,368.0,190.0,600.0,600,600,1200,2,1,4,0,2.0,480.0,0,172,149500,"100,000 - 199,999"
98,24.0,2544,6,2005,2005,216.0,376.0,224.0,600.0,600,636,1236,2,1,4,0,2.0,480.0,0,166,152000,"100,000 - 199,999"
99,0.0,4403,7,2009,2009,432.0,578.0,892.0,1470.0,1478,0,1478,2,1,7,1,2.0,484.0,0,144,222000,"200,000 - 299,999"
100,0.0,2117,6,2000,2000,216.0,378.0,378.0,756.0,769,804,1573,2,1,5,0,2.0,440.0,0,32,177500,"100,000 - 199,999"
101,0.0,2980,6,2000,2000,1159.0,466.0,290.0,756.0,756,756,1512,2,1,5,0,2.0,440.0,0,32,177000,"100,000 - 199,999"
102,24.0,2572,7,1999,1999,0.0,604.0,92.0,696.0,696,720,1416,2,1,6,0,2.0,484.0,0,44,155000,"100,000 - 199,999"
103,0.0,2403,7,2003,2003,0.0,244.0,286.0,530.0,530,550,1080,2,1,4,0,2.0,496.0,0,50,147110,"100,000 - 199,999"
104,57.0,12853,8,2010,2010,0.0,1032.0,610.0,1642.0,1418,0,1418,1,1,6,1,3.0,852.0,160,192,267916,"200,000 - 299,999"
105,68.0,7379,8,2000,2000,0.0,484.0,491.0,975.0,975,873,1848,2,1,7,1,2.0,592.0,280,184,254000,"200,000 - 299,999"
106,30.0,4420,8,1980,1980,0.0,728.0,0.0,728.0,788,0,788,1,0,3,1,2.0,484.0,133,42,155000,"100,000 - 199,999"
107,40.0,3880,8,1978,1978,0.0,1052.0,174.0,1226.0,1226,0,1226,1,0,4,1,2.0,484.0,223,78,206000,"200,000 - 299,999"
108,0.0,13517,6,1976,2005,289.0,533.0,192.0,725.0,725,754,1479,2,1,6,0,2.0,475.0,0,44,130500,"100,000 - 199,999"
109,80.0,8000,7,2002,2002,0.0,833.0,659.0,1492.0,1492,0,1492,2,0,6,1,2.0,596.0,277,137,230000,"200,000 - 299,999"
110,0.0,10456,6,1967,1967,120.0,506.0,1323.0,1829.0,1829,0,1829,2,0,8,0,2.0,535.0,0,76,218500,"200,000 - 299,999"
111,80.0,10791,6,1993,1993,0.0,1137.0,143.0,1280.0,1280,1215,2495,2,1,9,1,2.0,660.0,224,32,243500,"200,000 - 299,999"
112,0.0,10603,6,1977,2001,28.0,1200.0,410.0,1610.0,1610,0,1610,2,0,6,2,2.0,480.0,168,68,205000,"200,000 - 299,999"
113,0.0,18837,6,1978,1978,0.0,687.0,491.0,1224.0,1287,604,1891,3,0,7,1,2.0,678.0,0,69,212500,"200,000 - 299,999"
114,80.0,10421,7,1988,1988,42.0,394.0,586.0,980.0,980,734,1714,2,1,7,1,2.0,496.0,228,66,196500,"100,000 - 199,999"
115,78.0,9360,6,1972,2006,0.0,982.0,179.0,1161.0,1381,0,1381,1,1,5,1,2.0,676.0,0,0,197500,"100,000 - 199,999"
116,80.0,9600,6,1971,1971,0.0,329.0,386.0,715.0,930,715,1645,1,2,7,0,2.0,441.0,0,78,171000,"100,000 - 199,999"
117,80.0,9600,5,1966,1966,172.0,698.0,534.0,1232.0,1232,0,1232,1,1,6,0,2.0,490.0,0,224,142250,"100,000 - 199,999"
118,0.0,9790,6,1963,1963,451.0,569.0,678.0,1328.0,1328,0,1328,1,1,6,2,2.0,528.0,0,26,143000,"100,000 - 199,999"
119,77.0,9320,4,1959,1959,0.0,569.0,381.0,950.0,1225,0,1225,1,1,6,0,0.0,0.0,352,0,128950,"100,000 - 199,999"
120,90.0,9900,5,1966,1966,0.0,1059.0,150.0,1209.0,1209,0,1209,1,0,6,0,2.0,504.0,0,0,159000,"100,000 - 199,999"
121,88.0,9680,5,1967,1967,268.0,1010.0,500.0,1510.0,1510,0,1510,2,0,6,0,2.0,517.0,0,40,178900,"100,000 - 199,999"
122,0.0,10600,6,1964,1964,0.0,0.0,533.0,533.0,1131,644,1775,2,0,8,0,2.0,480.0,0,172,136300,"100,000 - 199,999"
123,0.0,14112,5,1964,1964,86.0,1014.0,138.0,1152.0,1152,0,1152,1,0,6,1,2.0,484.0,227,0,180500,"100,000 - 199,999"
124,80.0,8800,6,1963,1963,156.0,763.0,173.0,936.0,1054,0,1054,1,0,6,0,2.0,480.0,120,0,137500,"100,000 - 199,999"
125,98.0,13260,5,1962,2001,144.0,1500.0,228.0,1728.0,1728,0,1728,2,0,10,0,0.0,0.0,0,0,84900,"0 - 99,999"
126,68.0,9717,5,1950,1996,0.0,49.0,0.0,1078.0,1078,0,1078,1,0,5,0,1.0,240.0,366,0,142125,"100,000 - 199,999"
127,68.0,9724,5,1952,2002,265.0,670.0,470.0,1140.0,1929,532,2461,2,0,7,2,2.0,400.0,0,0,197600,"100,000 - 199,999"
128,120.0,17360,6,1949,1950,340.0,300.0,482.0,782.0,1019,537,1556,2,0,6,1,2.0,470.0,0,0,172500,"100,000 - 199,999"
129,50.0,7207,5,1958,2008,0.0,696.0,162.0,858.0,858,0,858,1,0,4,0,0.0,0.0,117,0,116500,"100,000 - 199,999"
130,55.0,5350,3,1940,1966,0.0,0.0,728.0,728.0,1306,0,1306,1,0,6,0,0.0,0.0,263,0,76500,"0 - 99,999"
131,80.0,9920,5,1954,1954,110.0,354.0,412.0,1056.0,1063,0,1063,1,0,6,0,1.0,280.0,0,0,128000,"100,000 - 199,999"
132,80.0,9600,6,1955,1972,164.0,674.0,350.0,1156.0,1520,0,1520,1,0,7,2,1.0,364.0,0,0,153000,"100,000 - 199,999"
133,78.0,7800,5,1954,1954,200.0,540.0,728.0,1268.0,1268,0,1268,1,0,7,1,1.0,244.0,0,98,132000,"100,000 - 199,999"
134,75.0,11380,6,1966,2008,216.0,944.0,136.0,1080.0,1128,0,1128,1,0,5,1,1.0,315.0,238,0,178000,"100,000 - 199,999"
135,80.0,11600,5,1960,1960,361.0,443.0,662.0,1105.0,1105,1169,2274,2,0,12,0,2.0,480.0,0,0,154300,"100,000 - 199,999"
136,0.0,19900,7,1970,1989,287.0,912.0,1035.0,1947.0,2207,0,2207,2,0,7,1,2.0,576.0,301,0,180000,"100,000 - 199,999"
137,137.0,16492,6,1966,2002,0.0,247.0,557.0,1517.0,1888,0,1888,2,1,6,1,2.0,578.0,0,0,190000,"100,000 - 199,999"
138,70.0,8267,5,1958,1958,0.0,0.0,1604.0,1604.0,1604,0,1604,2,0,8,0,2.0,576.0,42,0,135000,"100,000 - 199,999"
139,70.0,8197,7,2003,2009,506.0,1188.0,292.0,1480.0,1480,0,1480,2,0,7,0,2.0,620.0,252,73,214000,"200,000 - 299,999"
140,0.0,8050,5,1959,1959,150.0,856.0,125.0,1143.0,1143,0,1143,1,0,6,0,1.0,308.0,0,0,136000,"100,000 - 199,999"
141,70.0,10552,5,1959,1959,0.0,1018.0,380.0,1398.0,1700,0,1700,1,1,6,1,2.0,447.0,0,38,165500,"100,000 - 199,999"
142,70.0,8400,5,1957,1957,0.0,922.0,392.0,1314.0,1314,0,1314,1,0,5,0,1.0,294.0,250,0,145000,"100,000 - 199,999"
143,73.0,8760,6,1959,1959,220.0,0.0,1194.0,1194.0,1194,0,1194,1,0,6,0,1.0,312.0,0,0,148000,"100,000 - 199,999"
144,0.0,12160,5,1959,1959,180.0,1000.0,188.0,1188.0,1188,0,1188,1,0,6,0,2.0,531.0,0,0,142000,"100,000 - 199,999"
145,73.0,9300,5,1960,1960,324.0,697.0,571.0,1268.0,1264,0,1264,1,0,6,2,2.0,461.0,0,0,167500,"100,000 - 199,999"
146,87.0,10725,5,1959,1959,91.0,936.0,270.0,1206.0,1206,0,1206,1,0,6,0,1.0,312.0,0,21,108538,"100,000 - 199,999"
147,80.0,10032,6,1959,1959,432.0,734.0,510.0,1244.0,1580,0,1580,1,1,6,2,2.0,440.0,0,28,159500,"100,000 - 199,999"
148,60.0,8382,4,1956,1956,0.0,0.0,832.0,832.0,832,505,1337,1,0,5,0,1.0,263.0,0,0,108000,"100,000 - 199,999"
149,60.0,10950,5,1952,1952,0.0,339.0,525.0,864.0,1064,0,1064,1,0,4,0,1.0,318.0,0,0,135000,"100,000 - 199,999"
150,119.0,10895,5,1955,1955,0.0,648.0,324.0,972.0,972,0,972,1,0,5,0,1.0,305.0,0,0,122500,"100,000 - 199,999"
151,70.0,13587,5,1958,1958,0.0,532.0,456.0,988.0,988,0,988,1,0,5,0,1.0,264.0,0,0,119000,"100,000 - 199,999"
152,68.0,7922,5,1953,2007,0.0,731.0,326.0,1057.0,1057,0,1057,1,0,5,0,1.0,246.0,0,52,109000,"100,000 - 199,999"
153,65.0,7898,4,1920,1994,0.0,0.0,576.0,576.0,985,0,985,1,0,4,0,2.0,676.0,0,0,105000,"100,000 - 199,999"
154,60.0,7200,5,1955,2007,0.0,0.0,0.0,0.0,827,0,827,1,0,5,1,1.0,392.0,0,0,107500,"100,000 - 199,999"
155,85.0,10200,5,1954,2003,104.0,320.0,404.0,1086.0,1086,0,1086,1,0,6,0,2.0,490.0,0,0,144900,"100,000 - 199,999"
156,74.0,5868,5,1956,2000,0.0,248.0,448.0,936.0,936,0,936,1,0,4,0,1.0,308.0,0,0,129000,"100,000 - 199,999"
157,78.0,17503,6,1948,1950,0.0,0.0,912.0,912.0,912,546,1458,1,0,6,1,1.0,330.0,192,0,97500,"0 - 99,999"
158,64.0,6979,6,1980,1980,0.0,1056.0,0.0,1056.0,1056,0,1056,0,0,4,0,2.0,576.0,264,56,144000,"100,000 - 199,999"
159,0.0,9830,5,1959,2006,0.0,72.0,733.0,1063.0,1287,0,1287,1,0,7,1,2.0,576.0,364,17,162000,"100,000 - 199,999"
160,96.0,11275,7,1967,2007,300.0,0.0,710.0,710.0,1898,1080,2978,2,1,11,1,2.0,564.0,240,0,242000,"200,000 - 299,999"
161,60.0,8064,6,1948,2004,0.0,481.0,161.0,816.0,816,408,1224,1,0,5,0,1.0,280.0,414,0,132000,"100,000 - 199,999"
162,75.0,7500,5,1959,1994,0.0,340.0,0.0,1246.0,1246,0,1246,1,1,6,0,1.0,305.0,218,0,154000,"100,000 - 199,999"
163,71.0,8520,5,1952,1952,0.0,507.0,403.0,910.0,910,475,1385,2,0,6,0,2.0,720.0,0,0,166000,"100,000 - 199,999"
164,60.0,7200,5,1951,2000,0.0,234.0,180.0,900.0,900,0,900,1,0,5,0,2.0,576.0,222,32,134800,"100,000 - 199,999"
165,87.0,10000,6,1962,1962,261.0,0.0,1116.0,1116.0,1116,0,1116,1,1,5,0,2.0,440.0,0,0,160000,"100,000 - 199,999"
166,81.0,7635,5,1960,1960,0.0,588.0,237.0,1175.0,1175,0,1175,1,1,6,0,2.0,484.0,0,0,148000,"100,000 - 199,999"
167,80.0,9760,6,1963,1984,218.0,717.0,415.0,1395.0,1395,0,1395,1,0,7,1,2.0,440.0,657,0,192000,"100,000 - 199,999"
168,70.0,7700,6,1966,1966,351.0,0.0,756.0,756.0,1051,788,1839,1,1,7,1,2.0,442.0,0,124,155000,"100,000 - 199,999"
169,60.0,4800,4,1900,1954,771.0,48.0,661.0,709.0,1157,687,1844,1,0,9,2,1.0,240.0,84,0,80400,"0 - 99,999"
170,55.0,8800,4,1910,2004,0.0,0.0,576.0,576.0,792,348,1140,1,0,7,0,0.0,0.0,0,160,96500,"0 - 99,999"
171,56.0,4485,5,1920,1950,0.0,579.0,357.0,936.0,936,0,936,1,0,5,1,0.0,0.0,51,0,109500,"100,000 - 199,999"
172,56.0,8960,5,1927,1950,0.0,0.0,1008.0,1008.0,1028,0,1028,1,0,5,1,2.0,360.0,0,0,115000,"100,000 - 199,999"
173,69.0,5805,5,1957,1957,0.0,274.0,0.0,1347.0,1347,0,1347,1,0,6,0,2.0,551.0,0,0,143000,"100,000 - 199,999"
174,60.0,5790,3,1915,1950,0.0,0.0,840.0,840.0,840,765,1605,2,0,8,0,1.0,379.0,0,0,107400,"100,000 - 199,999"
175,47.0,4608,4,1945,1950,0.0,0.0,747.0,747.0,747,0,747,1,0,4,0,1.0,220.0,0,0,80000,"0 - 99,999"
176,60.0,7200,5,1940,1992,294.0,510.0,278.0,788.0,804,0,804,1,0,4,2,1.0,240.0,0,0,119000,"100,000 - 199,999"
177,50.0,5500,5,1929,2001,0.0,234.0,0.0,926.0,926,0,1316,1,0,6,0,2.0,484.0,0,0,130000,"100,000 - 199,999"
